year,total_precipitation,median_precipitation
35.307,4287.0,1094.0
35.898,4287.0,1094.0
36.049,12861.0,1094.0
36.099,12861.0,1094.0
36.1,12861.0,1094.0
36.149,12861.0,1094.0
36.15,12861.0,1094.0
36.198,4287.0,1094.0
36.199,17148.0,1094.0
36.2,25722.0,1094.0
36.248,8574.0,1094.0
36.249,17148.0,1094.0
36.25,30009.0,1094.0
36.298,8574.0,1094.0
36.299,17148.0,1094.0
36.3,34296.0,1094.0
36.347,4287.0,1094.0
36.348,8574.0,1094.0
36.349,17148.0,1094.0
36.35,34296.0,1094.0
36.398,12861.0,1094.0
36.399,17148.0,1094.0
36.4,38583.0,1094.0
36.447,12861.0,1094.0
36.448,8574.0,1094.0
36.449,17148.0,1094.0
36.45,38583.0,1094.0
36.495,4287.0,1094.0
36.496,4287.0,1094.0
36.497,8574.0,1094.0
36.498,12861.0,1094.0
36.499,17148.0,1094.0
36.5,38583.0,1094.0
36.541,4287.0,1094.0
36.542,4287.0,1094.0
36.543,4287.0,1094.0
36.544,8574.0,1094.0
36.545,8574.0,1094.0
36.546,4287.0,1094.0
36.547,12861.0,1094.0
36.548,8574.0,1094.0
36.549,17148.0,1094.0
36.55,38583.0,1094.0
36.591,4287.0,1094.0
36.592,8574.0,1094.0
36.593,4287.0,1094.0
36.594,8574.0,1094.0
36.595,4287.0,1094.0
36.596,12861.0,1094.0
36.597,8574.0,1094.0
36.598,8574.0,1094.0
36.599,17148.0,1094.0
36.6,42870.0,1094.0
36.64,4287.0,1094.0
36.641,4287.0,1094.0
36.642,8574.0,1094.0
36.643,4287.0,1094.0
36.644,8574.0,1094.0
36.645,8574.0,1094.0
36.646,4287.0,1094.0
36.647,8574.0,1094.0
36.648,12861.0,1094.0
36.649,21435.0,1094.0
36.65,47157.0,1094.0
36.69,4287.0,1094.0
36.691,8574.0,1094.0
36.692,4287.0,1094.0
36.693,4287.0,1094.0
36.694,8574.0,1094.0
36.695,4287.0,1094.0
36.696,8574.0,1094.0
36.697,12861.0,1094.0
36.698,8574.0,1094.0
36.699,21435.0,1094.0
36.7,51444.0,1094.0
36.702,4287.0,1094.0
36.719,4287.0,1094.0
36.72,4287.0,1094.0
36.722,4287.0,1094.0
36.734,4287.0,1094.0
